City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Mareeba,AU,79.66,scattered clouds,-17.0,145.43,Mareeba Motor Inn
300,Majene,ID,83.82,scattered clouds,-3.54,118.97,Kost Putri RABBANI
301,Ranong,TH,84.13,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
302,Palu,ID,80.55,overcast clouds,-0.89,119.87,Hotel Santika Palu
303,Kununurra,AU,85.98,overcast clouds,-15.77,128.73,Hotel Kununurra
305,Balsas,BR,79.36,overcast clouds,-7.53,-46.04,Novo Hotel
307,Lingao,CN,83.97,overcast clouds,19.91,109.69,Lingao Ditai Inn
309,Mamallapuram,IN,86.05,scattered clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
315,Bengkulu,ID,81.37,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
318,Vavuniya,LK,81.36,overcast clouds,8.75,80.5,Thampa Hotel
319,Mecca,SA,82.13,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
320,Mujiayingzi,CN,80.76,broken clouds,42.12,118.78,Jinjiang Hotel
322,Kroya,ID,82.89,broken clouds,-7.63,109.25,Hotel Srandil
327,Ishigaki,JP,78.93,moderate rain,24.34,124.16,Hotel Peace Land Ishigakijima
331,Sinnamary,GF,76.5,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
338,Canton,CN,78.87,overcast clouds,23.12,113.25,Shangjiuwan Hotel
345,Gouyave,GD,79.57,few clouds,12.16,-61.73,Rumboat Retreat
348,Shingu,JP,76.39,overcast clouds,33.73,135.98,Shingu UI Hotel
350,Pleasanton,US,82.33,clear sky,37.66,-121.87,Tri Valley Inn & Suites
354,Salinopolis,BR,77.95,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
355,San Jose,US,77.22,few clouds,37.34,-121.89,The Westin San Jose
359,Mapastepec,MX,79.81,broken clouds,15.43,-92.9,Hotel San Carlos
361,Kinwat,IN,86.52,clear sky,19.63,78.2,Iqbal Lodge
363,Ojinaga,MX,78.42,clear sky,29.57,-104.42,Suites Las Palmas
373,Lahan,NP,80.91,broken clouds,26.73,86.5,Bhattarai Residence
374,Rabaul,PG,83.71,scattered clouds,-4.2,152.17,Rabaul Hotel
377,Timbiqui,CO,76.28,moderate rain,2.77,-77.67,HOTEL TIMBIQUI
378,Balabac,PH,84.07,broken clouds,7.99,117.06,Sing and Swing Lodge
379,Puri,IN,79.32,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
382,Haapiti,PF,83.93,clear sky,-17.57,-149.87,Linareva Moorea Beach Resort
