City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Cape Town,ZA,-33.93,18.42,61.38,86,56,4.0,broken clouds
84,Toamasina,MG,-18.17,49.38,71.15,88,79,3.47,light rain
85,Camana,PE,-16.62,-72.71,65.03,82,36,7.07,scattered clouds
86,Richards Bay,ZA,-28.78,32.04,62.55,91,100,15.17,moderate rain
87,Kulhudhuffushi,MV,6.62,73.07,83.68,76,77,14.94,broken clouds
88,Waipawa,NZ,-41.41,175.52,54.18,53,5,4.23,clear sky
89,Los Llanos De Aridane,ES,28.66,-17.92,65.95,83,100,13.8,overcast clouds
90,Wagar,SD,16.15,36.20,89.4,25,2,6.76,clear sky
91,Paita,PE,-5.09,-81.11,66.4,83,8,15.73,clear sky
92,Siyabuswa,ZA,-25.11,29.04,52.32,73,68,2.17,broken clouds
93,Bossangoa,CF,6.49,17.46,71.91,87,100,5.79,overcast clouds
94,Avarua,CK,-21.21,-159.78,84.25,74,40,8.05,scattered clouds
95,Puerto Ayora,EC,-0.74,-90.35,71.83,91,34,6.96,scattered clouds
96,Tezu,IN,27.92,96.17,81.81,62,85,2.66,overcast clouds
97,Klaksvik,FO,62.23,-6.59,47.32,89,44,9.37,scattered clouds
98,Fortuna,US,40.60,-124.16,55.92,87,75,11.5,broken clouds
99,Beringovskiy,RU,63.05,179.32,43.16,71,84,11.34,broken clouds
100,Champerico,GT,14.30,-91.92,81.97,78,68,2.71,broken clouds
101,Port Alfred,ZA,-33.59,26.89,59.59,78,68,5.64,broken clouds
102,Toyooka,JP,35.53,134.83,73.45,53,20,6.91,few clouds
103,Rayagada,IN,19.17,83.42,89.69,47,5,1.92,clear sky
104,Yaan,NG,7.38,8.57,74.93,89,100,7.65,moderate rain
105,Talnakh,RU,69.49,88.40,33.21,100,100,5.84,light snow
106,Castro,BR,-24.79,-50.01,49.42,78,96,2.39,overcast clouds
107,Shahrud,IR,36.42,54.98,61.16,23,0,3.8,clear sky
108,Aksu,CN,41.12,80.26,79.83,19,100,8.1,overcast clouds
109,Bethel,US,41.37,-73.41,71.91,89,20,3.44,few clouds
110,Udayagiri,IN,20.13,84.38,83.37,56,15,3.24,few clouds
111,Hervey Bay,AU,-25.30,152.85,73.02,74,100,8.01,overcast clouds
112,Jalu,LY,29.03,21.55,67.32,33,0,5.93,clear sky
113,Mataro,ES,41.54,2.44,74.35,57,70,3.0,broken clouds
114,Sangar,RU,63.92,127.47,47.59,73,96,2.75,light rain
115,Sabha,LY,27.04,14.43,73.63,12,1,11.34,clear sky
116,Gat,IL,31.61,34.76,66.4,100,4,9.55,clear sky
117,Atherton,GB,53.52,-2.49,54.43,87,17,3.11,few clouds
118,Chumikan,RU,54.72,135.31,33.57,92,100,11.39,overcast clouds
119,Yashalta,RU,46.34,42.28,52.38,95,99,10.18,overcast clouds
120,Vegreville,CA,53.50,-112.05,63.3,23,90,12.66,overcast clouds
121,Kapaa,US,22.08,-159.32,82.38,81,100,12.66,overcast clouds
122,Mahajanga,MG,-15.72,46.32,75.22,69,40,5.75,scattered clouds
123,Nanortalik,GL,60.14,-45.24,34.43,92,74,10.56,broken clouds
124,Luderitz,NA,-26.65,15.16,60.24,56,15,6.35,few clouds
125,Severo-Kurilsk,RU,50.68,156.12,41.94,96,100,15.08,overcast clouds
126,Pontianak,ID,-0.03,109.33,87.78,74,40,4.61,scattered clouds
127,Mount Isa,AU,-20.73,139.50,78.57,38,3,10.36,clear sky
128,Mount Gambier,AU,-37.83,140.77,62.42,49,0,5.12,clear sky
129,Cidreira,BR,-30.18,-50.21,58.91,79,42,7.65,scattered clouds
130,Bahia Blanca,AR,-38.72,-62.27,57.42,45,100,6.69,light rain
131,Ribeira Grande,PT,38.52,-28.70,64.13,94,100,3.6,light rain
132,Zhigansk,RU,66.77,123.37,49.42,48,70,2.91,broken clouds
133,Hobyo,SO,5.35,48.53,80.31,79,90,23.29,overcast clouds
134,Lipin Bor,RU,60.26,37.98,32.79,74,100,10.38,overcast clouds
135,Lorengau,PG,-2.02,147.27,85.96,63,98,13.6,overcast clouds
136,Waingapu,ID,-9.66,120.26,85.3,65,18,14.56,few clouds
137,Pauini,BR,-7.71,-66.98,74.98,83,95,2.04,overcast clouds
138,Ponta Do Sol,PT,32.67,-17.10,66.83,68,37,6.15,scattered clouds
139,College,US,64.86,-147.80,66.58,26,20,13.8,few clouds
140,Carnarvon,AU,-24.87,113.63,72.16,54,17,16.46,few clouds
141,Tuatapere,NZ,-46.13,167.68,52.75,68,46,11.36,scattered clouds
142,Clyde River,CA,70.47,-68.59,17.83,93,100,14.97,light snow
143,Olafsvik,IS,64.89,-23.71,41.63,68,0,11.3,clear sky
144,Tasiilaq,GL,65.61,-37.64,33.96,99,100,12.53,snow
145,Jieshi,CN,22.81,115.83,78.94,85,100,13.91,overcast clouds
146,Iqaluit,CA,63.75,-68.51,22.73,79,100,18.41,light snow
147,Aykhal,RU,66.00,111.50,55.24,53,100,10.76,overcast clouds
148,Yar-Sale,RU,66.83,70.83,35.98,90,99,28.52,overcast clouds
149,Wencheng,CN,33.06,113.80,81.32,48,0,3.85,clear sky
150,Kalispell,US,48.20,-114.31,57.78,36,100,6.91,overcast clouds
151,Walvis Bay,NA,-22.96,14.51,65.91,33,12,5.37,few clouds
152,Xiongyue,CN,40.18,122.12,78.55,42,16,12.44,few clouds
153,Sola,VU,-13.88,167.55,81.7,74,39,1.74,scattered clouds
154,Bambanglipuro,ID,-7.95,110.28,83.7,68,67,4.92,broken clouds
155,Kihei,US,20.79,-156.47,86.02,66,0,23.02,clear sky
